鉴困,急荐疙,评疙,鸥啦,厘鸥,顶杭,夺傍,顶杭/夺傍,搬铰鸥,杭齿/伙柳,捧备荐/鸥籍,鉴荐厘鸥啦,眠沥垫痢,(1.8x免风啦+厘鸥啦)/4
1,备磊宽,伙己,0.336,49,97,126,0.77,8,0.65,4.04,0.159,86.7,0.307
2,辫己辣,伙己,0.314,12,83,55,1.51,1,0.40,3.44,0.09,38.8,0.26
3,辫瘤蛮,伙己,0.292,7,94,76,1.24,3,1.33,3.84,0.038,47.9,0.266
4,碍刮龋,伙己,0.29,35,128,120,1.07,8,0.75,3.64,0.154,68.7,0.276
5,乔芳扼,伙己,0.285,45,164,167,0.98,8,0.61,3.61,0.14,73.2,0.259
6,辫泅霖,伙己,0.275,19,145,88,1.65,5,0.36,3.9,0.072,49.6,0.234
7,幅瘤酋,伙己,0.268,14,161,104,1.55,1,0.63,3.8,0.042,54.7,0.231
8,辫悼柳,伙己,0.262,7,42,24,1.75,2,0.35,3.74,0.057,12.6,0.221
9,辫悼勘,伙己,0.255,12,41,55,0.75,1,0.45,3.8,0.133,18.7,0.238
10,价霖籍,伙己,0.25,0,4,2,2.0,0,-,3.88,0.0,0.5,0.175
10,捞秦铰,伙己,0.25,1,1,1,1.0,0,0.00,3.0,0.25,0.4,0.238
12,捞犁泅,伙己,0.249,33,116,145,0.8,9,0.58,4.01,0.129,60.7,0.243
13,救林屈,伙己,0.241,3,26,15,1.73,2,0.50,4.04,0.063,8.0,0.221
14,捞怕绕,伙己,0.231,1,2,1,2.0,0,0.14,4.0,0.077,1.1,0.206
15,碍茄匡,伙己,0.217,9,60,54,1.11,1,0.37,3.88,0.052,15.7,0.194
16,辫龋犁,伙己,0.216,7,42,32,1.31,0,0.35,4.24,0.06,6.8,0.183
17,碍霖辑,伙己,0.214,1,7,2,3.5,0,0.50,3.8,0.071,0.7,0.192
18,幅铰刮,伙己,0.212,3,10,12,0.83,0,0.11,4.02,0.058,3.4,0.182
19,捞己痹,伙己,0.207,12,26,49,0.53,2,0.19,3.81,0.103,10.9,0.194
19,炼刮己,伙己,0.207,2,12,5,2.4,0,0.00,3.38,0.069,0.6,0.162
21,坷犁老,伙己,0.203,26,40,104,0.38,6,0.39,4.17,0.152,38.6,0.225
22,傍刮痹,伙己,0.194,2,7,5,1.4,0,0.15,3.76,0.097,1.7,0.181
23,辫犁己,伙己,0.192,4,22,27,0.81,0,0.61,4.23,0.061,10.0,0.221
24,辫康旷,伙己,0.187,8,20,27,0.74,1,0.29,3.93,0.132,7.5,0.192
25,辫犁惑,伙己,0.15,1,7,6,1.17,0,0.50,3.82,0.15,1.2,0.177
26,辣沥后,伙己,0.147,1,15,2,7.5,0,0.58,4.58,0.088,3.6,0.205
27,辫档券,伙己,0.143,0,3,3,1.0,0,-,4.38,0.0,0.3,0.148
27,捞捍清,伙己,0.143,0,8,6,1.33,0,0.27,4.52,0.0,1.2,0.134
29,辫怕绕,伙己,0.095,1,4,6,0.67,0,0.00,3.27,0.048,-1.2,0.079
30,辫惑刮,伙己,0.083,0,5,3,1.67,0,0.33,3.46,0.0,-0.2,0.09
31,辫措快,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,辫刮荐,伙己,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.0
31,辫辑霖,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,辫怕绕,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,辫清帮,伙己,0.000,0,1,2,0.50,0,0.00,2.25,0.000,-0.4,0.0
31,坷铰券,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,捞惑刮,伙己,0.000,0,1,0,-,0,-,3.00,0.000,-0.1,0.0
31,捞铰泅,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,捞铰泅,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
31,捞犁劳,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
