鉴困,急荐疙,评疙,鸥啦,厘鸥,顶杭,夺傍,顶杭/夺傍,搬铰鸥,杭齿/伙柳,捧备荐/鸥籍,鉴荐厘鸥啦,眠沥垫痢,(1.8x免风啦+厘鸥啦)/4
1,辣沥后,伙己,0.417,5,4,5,0.80,2,0.33,4.40,0.306,10.1,0.394
2,捞犁泅,伙己,0.320,18,34,50,0.68,1,0.59,4.34,0.189,31.9,0.301
3,备磊宽,伙己,0.311,39,75,81,0.93,8,0.58,3.90,0.249,57.7,0.312
4,钙虐惩,伙己,0.302,16,51,93,0.55,3,1.21,3.60,0.098,37.7,0.275
5,辫清帮,伙己,0.301,12,33,34,0.97,2,0.38,4.32,0.180,21.4,0.282
6,辫瘤蛮,伙己,0.298,12,87,65,1.34,3,1.33,3.64,0.073,40.4,0.266
7,幅瘤酋,伙己,0.296,6,43,26,1.65,3,0.48,3.88,0.056,20.0,0.256
8,捞捍清,伙己,0.295,5,15,16,0.94,0,0.35,4.09,0.080,13.5,0.267
9,碍刮龋,伙己,0.272,11,63,55,1.15,1,0.96,3.36,0.105,26.7,0.256
10,辫康旷,伙己,0.269,29,49,66,0.74,6,0.36,3.79,0.226,50.0,0.28
11,辫怕绕,伙己,0.267,1,5,4,1.25,1,0.00,3.44,0.067,1.2,0.224
12,捞己痹,伙己,0.251,17,29,46,0.63,4,0.27,3.79,0.246,30.8,0.277
13,辫犁惑,伙己,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
14,辫己辣,伙己,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
15,救林屈,伙己,0.217,2,21,12,1.75,0,0.43,4.00,0.033,4.9,0.197
16,冠捍龋,伙己,0.207,11,38,37,1.03,3,0.51,4.13,0.155,22.6,0.249
17,辫犁己,伙己,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
17,捞芒侩,伙己,0.200,0,3,4,0.75,0,0.00,3.60,0.000,0.3,0.14
19,辫悼勘,伙己,0.182,1,3,2,1.50,0,0.20,3.57,0.091,1.3,0.197
20,辫犁酋,伙己,0.163,3,11,9,1.22,2,0.11,4.00,0.093,1.5,0.15
21,傈捍快,伙己,0.162,2,7,9,0.78,0,0.50,4.49,0.054,4.0,0.198
22,辫泅霖,伙己,0.154,7,25,18,1.39,1,0.24,3.97,0.103,3.7,0.166
23,辫悼柳,伙己,0.143,1,12,5,2.40,0,0.29,3.13,0.107,1.5,0.153
24,碍茄匡,伙己,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
25,辫龋柳,伙己,0.083,0,6,8,0.75,0,0.11,3.11,0.000,-0.4,0.087
26,傍刮痹,伙己,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
27,辫措快,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,辫犁辣,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,辫怕绕,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,幅铰刮,伙己,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
27,剧快泅,伙己,0.000,0,3,2,1.50,0,0.25,3.73,0.000,-0.5,0.045
27,坷铰券,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,腊急勘,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,捞惑刮,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
27,弥瘤堡,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
