¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,º´»ìÅ¸,ÀåÅ¸À²,Ãâ·çÀ²,Ãâ·çÀ²+ÀåÅ¸À²,¸ÖÆ¼È÷Æ®,µæÁ¡±ÇÅ¸À²,´ëÅ¸Å¸À²
1,¹Îº´Çå,·Ôµ¥,0.304,101,420,369,52,112,24,2,9,167,43,1,3,42,0,5,55,9,0.453,0.379,0.832,32,0.289,0.333
2,ÀüÁØ¿ì,·Ôµ¥,0.301,141,606,545,85,164,30,1,22,262,83,1,7,46,2,7,71,19,0.481,0.359,0.840,45,0.279,0.0
3,¼Õ¾Æ¼·,·Ôµ¥,0.295,134,568,512,78,151,22,1,10,205,63,1,2,52,1,1,92,6,0.400,0.360,0.760,41,0.293,0.2
4,ÀÌ´ëÈ£,·Ôµ¥,0.285,135,549,485,48,138,23,1,16,211,88,0,7,47,4,10,65,19,0.435,0.355,0.790,38,0.29,0.0
5,±èµ¿ÇÑ,·Ôµ¥,0.282,42,85,78,9,22,4,0,0,26,2,1,0,6,0,0,15,1,0.333,0.333,0.666,5,0.167,0.222
6,Á¤ÁØÇõ,·Ôµ¥,0.273,6,11,11,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0.273,0.273,0.546,0,0.333,0.333
7,½Åº»±â,·Ôµ¥,0.256,121,413,375,43,96,9,0,1,108,26,5,1,24,1,8,62,9,0.288,0.314,0.602,23,0.223,0.0
8,ÇãÀÏ,·Ôµ¥,0.255,71,162,149,14,38,4,0,1,45,17,0,0,12,0,1,28,1,0.302,0.315,0.617,6,0.292,0.424
9,°í½Â¹Î,·Ôµ¥,0.253,30,89,83,7,21,6,2,0,31,6,1,1,4,0,0,16,1,0.373,0.284,0.657,5,0.357,0.0
10,¾Æ¼ö¾ÆÇì,·Ôµ¥,0.252,49,194,163,34,41,5,4,2,60,21,3,1,26,1,1,24,0,0.368,0.356,0.724,10,0.378,0.0
11,Ã¤ÅÂÀÎ,·Ôµ¥,0.251,59,182,167,11,42,11,0,5,68,29,0,2,11,1,2,45,5,0.407,0.302,0.709,10,0.255,0.182
12,Àª½¼,·Ôµ¥,0.251,68,268,231,21,58,15,0,9,100,37,0,1,31,0,5,60,8,0.433,0.351,0.784,16,0.274,0.25
13,¹®±ÔÇö,·Ôµ¥,0.250,40,72,64,7,16,2,0,0,18,10,2,3,3,0,0,10,1,0.281,0.271,0.552,5,0.357,0.2
14,±è¹®È£,·Ôµ¥,0.243,51,109,103,6,25,7,0,0,32,4,1,1,4,0,0,30,1,0.311,0.269,0.580,6,0.095,0.182
15,°­·ÎÇÑ,·Ôµ¥,0.240,104,306,288,38,69,15,6,4,108,25,1,1,13,0,3,107,3,0.375,0.279,0.654,15,0.276,0.333
16,±è¹Î¼ö,·Ôµ¥,0.235,11,37,34,0,8,3,0,0,11,1,0,0,1,0,2,14,2,0.324,0.297,0.621,1,0.333,0.0
17,Á¤ÈÆ,·Ôµ¥,0.226,88,222,190,26,43,4,1,2,55,17,3,1,23,1,5,47,4,0.289,0.324,0.613,12,0.176,0.05
18,¿ÀÀ±¼®,·Ôµ¥,0.222,76,228,198,21,44,2,0,1,49,21,4,4,20,1,2,43,4,0.247,0.295,0.542,9,0.291,0.25
19,¹è¼º±Ù,·Ôµ¥,0.205,36,48,44,4,9,1,0,0,10,2,0,0,4,0,0,13,0,0.227,0.271,0.498,1,0.182,0.0
20,ÇÑµ¿Èñ,·Ôµ¥,0.203,59,207,187,12,38,9,0,2,53,9,0,2,18,0,0,57,3,0.283,0.271,0.554,6,0.114,0.5
21,³ª°æ¹Î,·Ôµ¥,0.200,45,49,45,10,9,0,2,0,13,7,0,0,3,0,1,12,0,0.289,0.265,0.554,0,0.333,0.0
22,¾ÈÁß¿­,·Ôµ¥,0.191,73,145,136,10,26,6,1,2,40,4,1,0,6,0,2,41,2,0.294,0.236,0.530,3,0.08,0.5
23,±èÁØÅÂ,·Ôµ¥,0.159,43,104,88,10,14,3,0,0,17,8,2,0,12,0,2,23,1,0.193,0.275,0.468,1,0.222,0.0
24,ÀÌº´±Ô,·Ôµ¥,0.158,8,22,19,1,3,2,0,0,5,0,0,0,2,0,1,7,1,0.263,0.273,0.536,1,0.0,0.0
25,Á¤º¸±Ù,·Ôµ¥,0.125,15,35,32,3,4,0,0,0,4,1,0,0,2,0,1,10,2,0.125,0.200,0.325,0,0.167,0.0
26,³ª±Õ¾È,·Ôµ¥,0.124,104,209,185,12,23,4,0,3,36,13,7,2,9,0,6,88,5,0.195,0.188,0.383,4,0.098,0.0
27,Á¶È«¼®,·Ôµ¥,0.117,42,65,60,8,7,2,1,0,11,5,0,1,4,0,0,14,1,0.183,0.169,0.352,1,0.118,0.0
28,½ÅÀ±ÈÄ,·Ôµ¥,0.100,17,20,20,4,2,0,0,1,5,2,0,0,0,0,0,4,0,0.250,0.100,0.350,0,0.0,0.0
29,Àüº´¿ì,·Ôµ¥,0.098,29,55,51,2,5,1,0,0,6,0,1,0,3,0,0,22,0,0.118,0.148,0.266,0,0.0,0.0
30,°íÈ¿ÁØ,·Ôµ¥,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,±¸½Â¹Î,·Ôµ¥,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,±è»çÈÆ,·Ôµ¥,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
30,¹Ú½Ã¿µ,·Ôµ¥,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,¹ÚÁøÇü,·Ôµ¥,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,¼Õ½Â¶ô,·Ôµ¥,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,¿ÀÇöÅÃ,·Ôµ¥,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,ÀÌÂù°Ç,·Ôµ¥,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
30,Á¤¼ºÁ¾,·Ôµ¥,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
30,ÃÖ¼³¿ì,·Ôµ¥,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
30,È²Áø¼ö,·Ôµ¥,0.000,6,4,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.250,0.250,0,0.0,0.0
